time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-24 00:00:00+00:00,19,9,1,1
2026-01-25 00:00:00+00:00,18,9,1,1
2026-01-26 00:00:00+00:00,11,6,10,3
2026-01-27 00:00:00+00:00,11,6,1,1
2026-01-28 00:00:00+00:00,14,7,28,3
2026-01-29 00:00:00+00:00,15,7,47,5
2026-01-30 00:00:00+00:00,12,5,0,0
2026-01-31 00:00:00+00:00,17,9,0,0
2026-02-01 00:00:00+00:00,12,7,3,3
2026-02-02 00:00:00+00:00,11,6,7,3
2026-02-03 00:00:00+00:00,6,4,6,5
2026-02-04 00:00:00+00:00,11,6,14,3
2026-02-05 00:00:00+00:00,8,4,15,6
2026-02-06 00:00:00+00:00,4,4,8,6
