time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-04 00:00:00+00:00,5,5,5,4
2026-08-05 00:00:00+00:00,23,11,18,11
2026-08-06 00:00:00+00:00,13,7,24,11
2026-08-07 00:00:00+00:00,16,6,4,4
2026-08-08 00:00:00+00:00,13,4,0,0
2026-08-09 00:00:00+00:00,7,3,6,2
2026-08-10 00:00:00+00:00,3,3,14,10
2026-08-11 00:00:00+00:00,18,13,8,6
2026-08-12 00:00:00+00:00,16,7,7,6
2026-08-13 00:00:00+00:00,12,6,6,6
2026-08-14 00:00:00+00:00,10,6,2,2
2026-08-15 00:00:00+00:00,1,1,1,1
2026-08-16 00:00:00+00:00,3,3,0,0
2026-08-17 00:00:00+00:00,6,6,6,4
