time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-06 00:00:00+00:00,21,10,5,4
2026-06-07 00:00:00+00:00,27,10,9,6
2026-06-08 00:00:00+00:00,15,6,14,10
2026-06-09 00:00:00+00:00,29,13,19,10
2026-06-10 00:00:00+00:00,24,11,4,4
2026-06-11 00:00:00+00:00,19,9,4,4
2026-06-12 00:00:00+00:00,31,13,12,9
2026-06-13 00:00:00+00:00,37,14,2,2
2026-06-14 00:00:00+00:00,31,11,4,3
2026-06-15 00:00:00+00:00,17,6,14,12
2026-06-16 00:00:00+00:00,25,10,9,6
2026-06-17 00:00:00+00:00,21,8,21,12
2026-06-18 00:00:00+00:00,34,9,19,12
2026-06-19 00:00:00+00:00,34,8,12,7
