time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-31 00:00:00+00:00,2,2,,
2024-09-01 00:00:00+00:00,2,2,,
2024-09-02 00:00:00+00:00,2,2,1.0,1.0
2024-09-03 00:00:00+00:00,2,2,,
2024-09-04 00:00:00+00:00,2,2,5.0,2.0
2024-09-05 00:00:00+00:00,1,1,,
2024-09-06 00:00:00+00:00,7,6,3.0,3.0
2024-09-07 00:00:00+00:00,1,1,,
2024-09-08 00:00:00+00:00,1,1,3.0,1.0
2024-09-09 00:00:00+00:00,1,1,96.0,6.0
2024-09-10 00:00:00+00:00,2,2,79.0,11.0
2024-09-11 00:00:00+00:00,2,2,53.0,10.0
2024-09-12 00:00:00+00:00,1,1,6.0,1.0
2024-09-13 00:00:00+00:00,1,1,9.0,1.0
