time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-05 00:00:00+00:00,5,5,,
2025-09-06 00:00:00+00:00,9,9,,
2025-09-07 00:00:00+00:00,5,5,,
2025-09-08 00:00:00+00:00,4,4,1.0,1.0
2025-09-09 00:00:00+00:00,4,4,10.0,4.0
2025-09-10 00:00:00+00:00,5,5,,
2025-09-11 00:00:00+00:00,4,4,5.0,2.0
2025-09-12 00:00:00+00:00,4,4,4.0,2.0
2025-09-13 00:00:00+00:00,5,5,,
2025-09-14 00:00:00+00:00,4,4,,
2025-09-15 00:00:00+00:00,7,7,8.0,2.0
2025-09-16 00:00:00+00:00,5,4,1.0,1.0
2025-09-17 00:00:00+00:00,5,5,1.0,1.0
2025-09-18 00:00:00+00:00,2,2,48.0,14.0
