time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-08 00:00:00+00:00,1,1,3.0,1.0
2024-09-09 00:00:00+00:00,1,1,96.0,6.0
2024-09-10 00:00:00+00:00,2,2,79.0,11.0
2024-09-11 00:00:00+00:00,2,2,53.0,10.0
2024-09-12 00:00:00+00:00,1,1,6.0,1.0
2024-09-13 00:00:00+00:00,1,1,9.0,1.0
2024-09-14 00:00:00+00:00,1,1,,
2024-09-15 00:00:00+00:00,1,1,,
2024-09-16 00:00:00+00:00,9,5,,
2024-09-17 00:00:00+00:00,1,1,1.0,1.0
2024-09-18 00:00:00+00:00,1,1,,
2024-09-19 00:00:00+00:00,3,3,,
2024-09-20 00:00:00+00:00,4,4,2.0,1.0
2024-09-21 00:00:00+00:00,1,1,8.0,1.0
