time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-02 00:00:00+00:00,10,6,0,0
2026-01-03 00:00:00+00:00,7,3,3,2
2026-01-04 00:00:00+00:00,9,5,0,0
2026-01-05 00:00:00+00:00,3,3,4,2
2026-01-06 00:00:00+00:00,12,5,1,1
2026-01-07 00:00:00+00:00,2,2,5,2
2026-01-08 00:00:00+00:00,7,3,18,2
2026-01-09 00:00:00+00:00,3,3,1,1
2026-01-10 00:00:00+00:00,9,5,0,0
2026-01-11 00:00:00+00:00,13,5,2,2
2026-01-12 00:00:00+00:00,14,7,36,2
2026-01-13 00:00:00+00:00,8,5,10,2
2026-01-14 00:00:00+00:00,2,2,1,1
2026-01-15 00:00:00+00:00,13,5,4,4
